BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
173,20210928,59484.82531,411.51,5.24,12.22,0.064,1.791,0.7166,100,5.22,56.39,0.294,0.7233
174,20210928,59484.82531,411.51,5.41,14.97,0.081,2.267,0.9069,150,5.48,38.7,0.212,0.7826
175,20210928,59484.82531,411.51,1.73,8.07,0.014,0.3919,0.1567,50,7.01,36.74,0.258,0.3168
176,20210928,59484.82708,411.51,4.79,164.96,0.79,22.11,8.845,450,4.39,175.01,0.769,8.505
177,20210928,59484.82708,411.51,4.53,46.81,0.212,5.934,2.374,250,4.42,94.87,0.419,2.575
178,20210928,59484.82738,411.51,6.17,37.13,0.229,6.41,2.564,300,5.21,57.56,0.3,2.21
179,20210928,59484.82738,411.51,13.91,147.82,2.056,57.55,23.02,300,13.68,312.1,4.271,31.5
180,20210928,59484.82771,411.51,5.96,13.77,0.082,2.295,0.9181,350,5.39,20.79,0.112,0.964
181,20210928,59484.82771,411.51,6.65,33.99,0.226,6.326,2.53,200,6.22,83.21,0.517,2.544
182,20210928,59484.82808,411.51,2.91,23.68,0.069,1.931,0.7725,200,2.87,51.09,0.147,0.721
183,20210928,59484.82883,411.51,4.87,55.42,0.27,7.557,3.023,250,4.17,118.71,0.495,3.045
184,20210928,59484.82891,411.51,5.86,42.32,0.248,6.942,2.777,150,5.36,135.02,0.723,2.667
185,20210928,59484.82964,411.51,5.92,85.97,0.509,14.25,5.699,350,5.48,131.19,0.72,6.191
186,20210928,59484.83043,411.51,3.25,21.52,0.07,1.959,0.7837,150,3.25,69.13,0.225,0.8296
187,20210928,59484.83043,411.51,10.8,24.73,0.267,7.473,2.989,200,9.46,58.9,0.557,2.741
188,20210928,59484.83043,411.51,4.45,26.95,0.12,3.359,1.344,100,4.36,124.62,0.544,1.337
189,20210928,59484.83059,411.51,6.3,75.84,0.478,13.38,5.352,300,5.57,150.03,0.835,6.16
190,20210928,59484.8306,411.51,4.89,244.72,1.197,33.5,13.4,450,4.51,266.84,1.203,13.31
